index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
639,False,USA,640,1998.0,1.0,The Offspring,Pretty Fly (For a White Guy),1998.0,https://genius.com/The-Offspring-pretty-fly-for-a-white-guy-lyrics,"[1998, 11, 17]"
640,False,Australia,641,1998.0,2.0,Ben Lee,Cigarettes Will Kill You,1998.0,https://genius.com/Ben-Lee-cigarettes-will-kill-you-lyrics,---
641,False,USA,642,1998.0,4.0,Hole,Celebrity Skin,1998.0,https://genius.com/Hole-celebrity-skin-lyrics,"[1998, 9, 1]"
642,False,USA,643,1998.0,5.0,Korn,Got the Life,1998.0,https://genius.com/Korn-got-the-life-lyrics,"[1998, 8, 18]"
643,False,Australia,644,1998.0,6.0,Regurgitator,! (Song Formerly Known As),1998.0,Regurgitator,---
644,False,Australia,645,1998.0,7.0,Jebediah,Harpoon,1998.0,https://genius.com/Jebediah-harpoon-lyrics,---
645,False,Australia,646,1998.0,8.0,Powderfinger,The Day You Come,1998.0,https://genius.com/Powderfinger-the-day-you-come-lyrics,---
646,False,Australia,647,1998.0,9.0,You Am I,Heavy Heart,1998.0,https://genius.com/You-Am-I-heavy-heart-lyrics,---
647,False,Australia,648,1998.0,10.0,The Living End,Save The Day,1998.0,https://genius.com/The-Living-End-save-the-day-lyrics,---
648,False,Ireland,649,1998.0,11.0,U2,The Sweetest Thing,1998.0,U2,---
649,False,USA,650,1998.0,12.0,Ben Folds Five,Brick,1998.0,https://genius.com/Ben-Folds-Five-brick-lyrics,"[1997, 1, 1]"
650,False,USA,651,1998.0,13.0,They Might Be Giants,Dr. Worm,1998.0,They Might Be Giants,---
651,False,Australia,652,1998.0,15.0,The Living End,Second Solution,1998.0,https://genius.com/The-Living-End-second-solution-lyrics,---
652,False,Australia,653,1998.0,16.0,Josh Abrahams & Amiel Daemion,Addicted to Bass,1998.0,Josh Abrahams & Amiel Daemion,---
653,False,Australia,654,1998.0,17.0,The Living End,Tainted Love {Live},1998.0,The Living End,---
654,False,Australia,655,1998.0,18.0,Grinspoon,Just Ace,1998.0,https://genius.com/Grinspoon-just-ace-lyrics,---
655,False,USA,656,1998.0,19.0,Wyclef Jean,Bubblegoose,1998.0,https://genius.com/Wyclef-Jean-bubblegoose-lyrics,"[1997, 6, 24]"
656,False,USA,657,1998.0,20.0,Chef,Simultaneous,1998.0,Chef,---
657,False,USA,658,1998.0,21.0,Marcy Playground,Sex and Candy,1998.0,https://genius.com/Marcy-Playground-sex-and-candy-lyrics,"[1997, 11, 4]"
658,False,Australia,659,1998.0,22.0,Grinspoon,Black Friday,1998.0,https://genius.com/Grinspoon-black-friday-lyrics,---
659,False,UK,660,1998.0,23.0,Massive Attack,Teardrop,1998.0,https://genius.com/Massive-Attack-teardrop-lyrics,"[1998, 4, 27]"
660,False,Australia,661,1998.0,24.0,Custard,Music Is Crap,1998.0,https://genius.com/Custard-music-is-crap-lyrics,"[1997, 9, 15]"
661,False,USA,662,1998.0,25.0,Beastie Boys,Intergalactic,1998.0,https://genius.com/Beastie-Boys-intergalactic-lyrics,"[1998, 5, 12]"
662,False,Australia,663,1998.0,26.0,Regurgitator,Polyester Girl,1998.0,https://genius.com/Regurgitator-polyester-girl-lyrics,---
663,False,Australia,664,1998.0,27.0,Regurgitator,I Like Your Old Remix Better Than Your New Remix,1998.0,Regurgitator,---
664,False,USA,665,1998.0,29.0,Jeff Buckley,Everybody Here Wants You,1998.0,https://genius.com/Jeff-Buckley-everybody-here-wants-you-lyrics,"[1998, 5, 26]"
665,False,USA,666,1998.0,30.0,Cake,Never There,1998.0,https://genius.com/Cake-never-there-lyrics,"[1998, 10, 6]"
666,False,Australia,667,1998.0,31.0,Paul McDermott,Throw Your Arms Around Me,1998.0,Paul McDermott,---
667,False,Australia,668,1998.0,32.0,Regurgitator,Black Bugs,1998.0,https://genius.com/Regurgitator-black-bugs-lyrics,---
668,False,Australia,669,1998.0,33.0,Eskimo Joe,Sweater,1998.0,https://genius.com/Eskimo-Joe-sweater-lyrics,---
669,False,Canada,670,1998.0,34.0,Barenaked Ladies,One Week,1998.0,https://genius.com/Barenaked-Ladies-one-week-lyrics,"[1998, 7, 7]"
670,False,USA,671,1998.0,35.0,Harvey Danger,Flagpole Sitta,1998.0,https://genius.com/Harvey-Danger-flagpole-sitta-lyrics,"[1997, 7, 29]"
671,False,Australia,672,1998.0,36.0,TISM,Whatareya?,1998.0,https://genius.com/TISM-whatareya-lyrics,---
672,False,Australia,673,1998.0,37.0,The Whitlams,Buy Now Pay Later (Charlie No 2),1998.0,The Whitlams,---
673,False,USA,674,1998.0,38.0,The Mighty Mighty Bosstones,The Impression That I Get,1998.0,https://genius.com/The-Mighty-Mighty-Bosstones-the-impression-that-i-get-lyrics,"[1996, 11, 5]"
674,False,USA,675,1998.0,39.0,Adam Sandler,Somebody Kill Me,1998.0,Adam Sandler,---
675,False,USA,676,1998.0,40.0,Ben Folds Five,Song For The Dumped,1998.0,https://genius.com/Ben-Folds-Five-song-for-the-dumped-lyrics,"[1997, 3, 18]"
676,False,UK,677,1998.0,41.0,Placebo,Pure Morning,1998.0,https://genius.com/Placebo-pure-morning-lyrics,"[1998, 8, 3]"
677,False,Australia,678,1998.0,42.0,Jebediah,Teflon,1998.0,https://genius.com/Jebediah-teflon-lyrics,---
678,False,Australia,679,1998.0,43.0,The Whitlams,Melbourne,1998.0,https://genius.com/The-Whitlams-melbourne-lyrics,---
679,False,USA,680,1998.0,44.0,Marilyn Manson,The Dope Show,1998.0,https://genius.com/Marilyn-Manson-the-dope-show-lyrics,"[1998, 9, 14]"
680,False,USA,681,1998.0,45.0,The Smashing Pumpkins,Ava Adore,1998.0,https://genius.com/The-Smashing-Pumpkins-ava-adore-lyrics,"[1998, 5, 18]"
681,False,USA,682,1998.0,47.0,Pearl Jam,Do the Evolution,1998.0,https://genius.com/Pearl-Jam-do-the-evolution-lyrics,"[1998, 2, 8]"
682,False,UK,683,1998.0,48.0,Catatonia,Road Rage,1998.0,https://genius.com/Catatonia-road-rage-lyrics,---
683,False,USA,684,1998.0,49.0,Hole,Malibu,1998.0,https://genius.com/Hole-malibu-lyrics,"[1998, 12, 29]"
684,False,USA,685,1998.0,51.0,Pearl Jam,Given to Fly,1998.0,https://genius.com/Pearl-Jam-given-to-fly-lyrics,"[1998, 2, 3]"
685,False,USA,686,1998.0,52.0,Green Day,The Grouch,1998.0,https://genius.com/Green-Day-the-grouch-lyrics,"[1997, 10, 14]"
686,False,USA,687,1998.0,53.0,Everclear,Father of Mine,1998.0,https://genius.com/Everclear-father-of-mine-lyrics,"[1997, 10, 7]"
687,False,Australia,688,1998.0,54.0,Frenzal Rhomb,Mum Changed The Locks,1998.0,https://genius.com/Frenzal-Rhomb-mum-changed-the-locks-lyrics,---
688,False,UK,689,1998.0,55.0,Radiohead,No Surprises,1998.0,https://genius.com/Radiohead-no-surprises-lyrics,"[1998, 1, 12]"
689,False,Australia,690,1998.0,56.0,The Whitlams,Charlie No 3,1998.0,https://genius.com/The-Whitlams-charlie-no-3-lyrics,---
690,False,UK,691,1998.0,59.0,Propellerheads & Shirley Bassey,History Repeating,1998.0,Propellerheads & Shirley Bassey,---
691,False,USA,692,1998.0,60.0,Ani DiFranco,Untouchable Face,1998.0,https://genius.com/Ani-DiFranco-untouchable-face-lyrics,"[1996, 5, 21]"
692,False,USA,693,1998.0,62.0,The Offspring,Gone Away,1998.0,https://genius.com/The-Offspring-gone-away-lyrics,"[1997, 3, 1]"
693,False,UK,694,1998.0,63.0,Fatboy Slim,The Rockafeller Skank,1998.0,https://genius.com/Fatboy-Slim-the-rockafeller-skank-lyrics,"[1998, 6, 8]"
694,False,Australia,695,1998.0,64.0,Antenna,Come On Spring,1998.0,Antenna,---
