index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
1820,False,Ireland,1821,1994.0,1.0,The Cranberries,Zombie,1994.0,https://genius.com/The-Cranberries-zombie-lyrics,"[1994, 9, 14]"
1821,False,USA,1822,1994.0,2.0,Nine Inch Nails,Closer,1994.0,https://genius.com/Nine-Inch-Nails-closer-lyrics,"[1994, 5, 30]"
1822,False,USA,1823,1994.0,3.0,The Offspring,Self Esteem,1994.0,https://genius.com/The-Offspring-self-esteem-lyrics,"[1994, 12, 22]"
1823,False,USA,1824,1994.0,4.0,The Offspring,Come Out & Play,1994.0,The Offspring,---
1824,False,Australia,1825,1994.0,5.0,Silverchair,Tomorrow,1994.0,https://genius.com/Silverchair-tomorrow-lyrics,"[1994, 9, 16]"
1825,False,USA,1826,1994.0,6.0,Veruca Salt,Seether,1994.0,https://genius.com/Veruca-Salt-seether-lyrics,"[1994, 10, 11]"
1826,False,USA,1827,1994.0,7.0,Nirvana,About a Girl,1994.0,https://genius.com/Nirvana-about-a-girl-lyrics,"[1989, 6, 15]"
1827,False,Australia,1828,1994.0,8.0,Max Sharam,Coma,1994.0,https://genius.com/Max-Sharam-coma-lyrics,---
1828,False,UK,1829,1994.0,9.0,Tom Jones,If I Only Knew,1994.0,https://genius.com/Tom-Jones-if-i-only-knew-lyrics,---
1829,False,Australia,1830,1994.0,10.0,Severed Heads,Dead Eyes Opened {1994 Remix},1994.0,Severed Heads,---
1830,False,Australia,1831,1994.0,11.0,Nick Cave & The Bad Seeds,Do You Love Me?,1994.0,Nick Cave & The Bad Seeds,---
1831,False,UK,1832,1994.0,12.0,James,Laid,1994.0,https://genius.com/James-laid-lyrics,"[1993, 10, 1]"
1832,False,UK,1833,1994.0,13.0,Bomb The Bass,Bug Powder Dust,1994.0,https://genius.com/Bomb-The-Bass-bug-powder-dust-lyrics,---
1833,False,Australia,1834,1994.0,14.0,The Cruel Sea,Better Get A Lawyer,1994.0,https://genius.com/The-Cruel-Sea-better-get-a-lawyer-lyrics,---
1834,False,USA,1835,1994.0,15.0,Sheryl Crow,All I Wanna Do,1994.0,https://genius.com/Sheryl-Crow-all-i-wanna-do-lyrics,"[1993, 8, 6]"
1835,False,USA,1836,1994.0,16.0,Beastie Boys,Sabotage,1994.0,https://genius.com/Beastie-Boys-sabotage-lyrics,"[1994, 1, 28]"
