index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
3200,FALSE,Australia,1140,2018,1,Ocean Alley,Confidence,2018,https://genius.com/Ocean-Alley-confidence-lyrics,"[2018, 3, 9]"
3201,FALSE,Australia,564,2018,2,FISHER,Losing It,2018,https://genius.com/FISHER-losing-it-lyrics,"[2018, 7, 13]"
3202,FALSE,USA,1501,2018,3,Travis Scott,SICKO MODE,2018,https://genius.com/Travis-Scott-sicko-mode-lyrics,"[2018, 8, 3]"
3203,FALSE,USA,325,2018,4,Childish Gambino,This Is America,2018,https://genius.com/Childish-Gambino-this-is-america-lyrics,"[2018, 5, 6]"
3204,FALSE,Australia,87,2018,5,Amy Shark,I Said Hi,2018,https://genius.com/Amy-Shark-i-said-hi-lyrics,"[2018, 4, 12]"
3205,FALSE,Australia,425,2018,6,Dean Lewis,Be Alright,2018,https://genius.com/Dean-Lewis-be-alright-lyrics,"[2018, 6, 28]"
3206,FALSE,Australia,987,2018,7,Mallrat,Groceries,2018,https://genius.com/Mallrat-groceries-lyrics,"[2018, 6, 1]"
3207,FALSE,USA,209,2018,8,Billie Eilish,when the party's over,2018,https://genius.com/Billie-Eilish-when-the-partys-over-lyrics,"[2018, 10, 17]"
3208,FALSE,Australia,1290,2018,9,Ruby Fields,Dinosaurs,2018,https://genius.com/Ruby-Fields-dinosaurs-lyrics,"[2018, 9, 18]"
3209,FALSE,Australia,1143,2018,10,Ocean Alley,Knees,2018,https://genius.com/Ocean-Alley-knees-lyrics,"[2018, 3, 9]"
3210,FALSE,Australia,1357,2018,11,Skegss,Up In The Clouds,2018,https://genius.com/Skegss-up-in-the-clouds-lyrics,"[2018, 4, 24]"
3212,FALSE,USA,23,2018,13,A$AP Rocky,Praise The Lord (Da Shine) {Ft. Skepta},2018,A$AP Rocky,---
3213,FALSE,Australia,1562,2018,14,Wafia,I'm Good,2018,https://genius.com/Wafia-im-good-lyrics,"[2018, 8, 9]"
3214,FALSE,Australia,683,2018,15,Hayden James,Just Friends {Ft. Boy Matthews},2018,Hayden James,---
3215,FALSE,Australia,2006,2018,16,Ocean Alley,Baby Come Back {triple j Like A Version 2018},2018,Ocean Alley,---
3216,FALSE,USA,208,2018,17,Billie Eilish,lovely {with Khalid},2018,Billie Eilish,---
3217,FALSE,Australia,705,2018,18,Hockey Dad,Join The Club,2018,https://genius.com/Hockey-Dad-join-the-club-lyrics,"[2018, 2, 9]"
3218,FALSE,New Zealand,268,2018,19,Broods,Peach,2018,https://genius.com/Broods-peach-lyrics,"[2018, 8, 8]"
3219,FALSE,Australia,846,2018,20,KIAN,Waiting,2018,https://genius.com/KIAN-waiting-lyrics,"[2018, 7, 20]"
3220,FALSE,Australia,1289,2018,21,The Rubens,Never Ever {Ft. Sarah},2018,The Rubens,---
3221,FALSE,Australia,1302,2018,22,RÜFÜS DU SOL,Underwater,2018,RÜFÜS DU SOL,---
3222,FALSE,Australia,1301,2018,23,RÜFÜS DU SOL,Treat You Better,2018,RÜFÜS DU SOL,---
3223,FALSE,Australia,698,2018,24,Hilltop Hoods,Leave Me Lonely,2018,https://genius.com/Hilltop-Hoods-leave-me-lonely-lyrics,"[2018, 11, 23]"
3224,FALSE,Australia,1460,2018,25,Thundamentals,I Miss You,2018,https://genius.com/Thundamentals-i-miss-you-lyrics,"[2018, 6, 22]"
3225,FALSE,Australia,1551,2018,26,Vera Blue,All The Pretty Girls,2018,https://genius.com/Vera-Blue-all-the-pretty-girls-lyrics,"[2018, 10, 26]"
3226,FALSE,USA,1225,2018,27,Post Malone & Swae Lee,Sunflower,2018,Post Malone & Swae Lee,---
3227,FALSE,USA,834,2018,28,Kendrick Lamar & SZA,All The Stars,2018,Kendrick Lamar & SZA,---
3228,FALSE,Australia,1196,2018,29,Peking Duk,Fire,2018,https://genius.com/Peking-Duk-fire-lyrics,"[2018, 5, 11]"
3229,FALSE,Australia,408,2018,30,Cub Sport,Sometimes,2018,https://genius.com/Cub-Sport-sometimes-lyrics,"[2018, 10, 5]"
3230,FALSE,Australia,58,2018,31,Alison Wonderland,Church,2018,https://genius.com/Alison-Wonderland-church-lyrics,"[2018, 2, 16]"
3231,FALSE,Australia,1287,2018,32,The Rubens,God Forgot,2018,https://genius.com/The-Rubens-god-forgot-lyrics,"[2018, 12, 29]"
3232,FALSE,USA,1220,2018,33,Post Malone,Better Now,2018,https://genius.com/Post-Malone-better-now-lyrics,"[2018, 4, 27]"
3233,FALSE,USA,860,2018,34,King Princess,1950,2018,https://genius.com/King-Princess-1950-lyrics,"[2018, 2, 23]"
3234,FALSE,USA,974,2018,35,Mac Miller,Ladders,2018,https://genius.com/Mac-Miller-ladders-lyrics,"[2018, 8, 3]"
3235,FALSE,Australia,83,2018,36,Amy Shark,All Loved Up,2018,https://genius.com/Amy-Shark-all-loved-up-lyrics,"[2018, 7, 13]"
3236,FALSE,Australia,1627,2018,37,Ziggy Alberts,Love Me Now,2018,https://genius.com/Ziggy-Alberts-love-me-now-lyrics,"[2018, 5, 18]"
3237,FALSE,Australia,594,2018,38,G Flip,About You,2018,https://genius.com/G-Flip-about-you-lyrics,"[2018, 2, 13]"
3239,FALSE,Canada,474,2018,40,Drake,Nice For What,2018,https://genius.com/Drake-nice-for-what-lyrics,"[2018, 4, 6]"
3240,FALSE,Australia,460,2018,41,DMA'S,In The Air,2018,DMA'S,---
3241,FALSE,Australia,1626,2018,42,Ziggy Alberts,Laps Around The Sun,2018,https://genius.com/Ziggy-Alberts-laps-around-the-sun-lyrics,"[2018, 8, 3]"
3242,FALSE,Canada,471,2018,43,Drake,God's Plan,2018,https://genius.com/Drake-gods-plan-lyrics,"[2018, 1, 19]"
3243,FALSE,Australia,697,2018,44,Hilltop Hoods,Clark Griswold {Ft. Adrian Eagle},2018,Hilltop Hoods,---
3244,FALSE,UK,252,2018,45,Bring Me The Horizon,MANTRA,2018,https://genius.com/Bring-Me-The-Horizon-mantra-lyrics,"[2018, 8, 21]"
3245,FALSE,USA,210,2018,46,Billie Eilish,you should see me in a crown,2018,https://genius.com/Billie-Eilish-you-should-see-me-in-a-crown-lyrics,"[2018, 7, 18]"
3246,FALSE,Australia,499,2018,47,DZ Deathrays,Like People,2018,https://genius.com/DZ-Deathrays-like-people-lyrics,---
3247,FALSE,Australia,1324,2018,48,San Cisco,When I Dream,2018,https://genius.com/San-Cisco-when-i-dream-lyrics,"[2018, 9, 6]"
3248,FALSE,Australia,109,2018,49,Angie McMahon,Missing Me,2018,https://genius.com/Angie-McMahon-missing-me-lyrics,"[2018, 2, 26]"
3249,FALSE,Australia,1300,2018,50,RÜFÜS DU SOL,No Place,2018,RÜFÜS DU SOL,---
3250,FALSE,Australia,167,2018,51,Baker Boy,Mr La Di Da Di,2018,https://genius.com/Baker-Boy-mr-la-di-da-di-lyrics,"[2018, 4, 13]"
3251,FALSE,USA,841,2018,52,Khalid,Better,2018,https://genius.com/Khalid-better-lyrics,"[2018, 9, 14]"
3252,FALSE,Australia,1546,2018,53,Vance Joy,We're Going Home,2018,https://genius.com/Vance-Joy-were-going-home-lyrics,"[2018, 1, 12]"
3253,FALSE,Australia,1544,2018,54,Vance Joy,Saturday Sun,2018,https://genius.com/Vance-Joy-saturday-sun-lyrics,"[2018, 2, 1]"
3254,FALSE,Australia,1197,2018,55,Peking Duk,Wasted,2018,https://genius.com/Peking-Duk-wasted-lyrics,"[2018, 2, 2]"
3255,FALSE,USA,665,2018,56,Halsey,Without Me,2018,https://genius.com/Halsey-without-me-lyrics,"[2018, 10, 4]"
3256,FALSE,Australia,1230,2018,57,The Presets,Martini,2018,https://genius.com/The-Presets-martini-lyrics,"[2018, 6, 1]"
3257,FALSE,New Zealand,197,2018,58,Bene,Soaked,2018,https://genius.com/Bene-soaked-lyrics,"[2018, 9, 14]"
3258,FALSE,Australia,1016,2018,59,Meg Mac,Give Me My Name Back,2018,https://genius.com/Meg-Mac-give-me-my-name-back-lyrics,"[2018, 10, 12]"
3259,FALSE,Australia,462,2018,60,DMA'S,The End,2018,DMA'S,---
3260,FALSE,Australia,704,2018,61,Hockey Dad,I Wanna Be Everybody,2018,https://genius.com/Hockey-Dad-i-wanna-be-everybody-lyrics,"[2018, 1, 18]"
3261,FALSE,Australia,595,2018,62,G Flip,Killing My Time,2018,https://genius.com/G-Flip-killing-my-time-lyrics,"[2018, 5, 16]"
3263,FALSE,Australia,2004,2018,64,Middle Kids,Mistake,2018,https://genius.com/Middle-Kids-mistake-lyrics,"[2018, 2, 1]"
3264,FALSE,Australia,1022,2018,65,Methyl Ethel,Scream Whole,2018,https://genius.com/Methyl-Ethel-scream-whole-lyrics,"[2018, 9, 26]"
3265,FALSE,Australia,568,2018,66,Flight Facilities,Need You {Ft. N�?KA},2018,Flight Facilities,---
3266,FALSE,USA,104,2018,67,Anderson .Paak,Tints {Ft. Kendrick Lamar},2018,Anderson .Paak,---
3267,FALSE,USA,199,2018,68,benny blanco,Eastside {Ft. Halsey/Khalid},2018,benny blanco,---
3268,FALSE,UK,1588,2018,69,The Wombats,Cheetah Tongue,2018,https://genius.com/The-Wombats-cheetah-tongue-lyrics,"[2018, 1, 18]"
3269,FALSE,Australia,988,2018,70,Mallrat,UFO {Ft. Allday},2018,Mallrat,---
3270,FALSE,Australia,1355,2018,71,Skegss,Smogged Out,2018,https://genius.com/Skegss-smogged-out-lyrics,"[2018, 7, 11]"
3271,FALSE,UK,1132,2018,72,Nothing But Thieves,What Can I Do If The Fire Goes Out {triple j Like A Version 2018},2018,Nothing But Thieves,---
3272,FALSE,Australia,707,2018,73,Hockey Dad,Sweet Release,2018,https://genius.com/Hockey-Dad-sweet-release-lyrics,"[2018, 2, 9]"
3273,FALSE,USA,862,2018,74,King Princess,Pussy Is God,2018,https://genius.com/King-Princess-pussy-is-god-lyrics,"[2018, 11, 1]"
3274,FALSE,Australia,2002,2018,75,Kira Puru,Molotov,2018,https://genius.com/Kira-Puru-molotov-lyrics,"[2018, 6, 7]"
3275,FALSE,Australia,1212,2018,76,Polish Club,Clarity,2018,https://genius.com/Polish-Club-clarity-lyrics,"[2018, 10, 5]"
3276,FALSE,UK,340,2018,77,CHVRCHES,Miracle,2018,https://genius.com/CHVRCHES-miracle-lyrics,"[2018, 4, 10]"
