Year,Position,Artist,Song
1994,39,Dave Pike Set,Mathar
1994,40,Weezer,Undone - The Sweater Song
1994,41,Kristin Hersh,Your Ghost
1994,42,Pet Shop Boys,Absolutely Fabulous
1994,43,Christine Anu,Monkey & The Turtle
1994,44,The Grid,Swamp Thing
1994,45,Beck,Loser
1994,46,Soundgarden,My Wave
1994,47,Counting Crows,Einstein on the Beach (For An Eggman)
1994,48,Counting Crows,Mr. Jones
1994,49,Falling Joys,Amen {Remix}
1994,50,Tumbleweed,Daddy Long Legs
1994,51,Soundgarden,Spoonman
1994,52,Penny Flanagan,Lap It Up
1994,53,Soundgarden,Fell on Black Days
1994,54,Stone Temple Pilots,Vasoline
1994,55,Ed Kuepper,La Di Doh
1994,56,Frente!,Bizarre Love Triangle
1994,57,The Cure,Burn
1994,58,Pop Will Eat Itself,Everything's Cool
1994,59,The Jesus and Mary Chain,Sometimes Always
1994,60,Pavement,Cut Your Hair
1994,61,Gin Blossoms,Hey Jealousy
1994,62,Pale,Lemon Sparked
1994,63,Blur,Parklife
1994,64,The Black Crowes,A Conspiracy
1994,65,Sonic Youth,Bull in the Heather
1994,66,Whale,Hobo Humpin Slobo Babe
1994,67,L7,Andres
1994,68,Dinosaur Jr.,Feel the Pain
1994,69,Crash Test Dummies,Mmm Mmm Mmm Mmm
1994,70,R.E.M.,What's The Frequency Kenneth?
1994,71,Urge Overkill,Dropout
1994,72,Lucas,Lucas With The Lid Off
1994,73,The Sharp,Alone Like Me
1994,74,Swoop,Neighbourhood Freak
1994,75,PM Dawn,You Got Me Floatin'
1994,76,Francis Dunnery,American Life in the Summertime
1994,77,You Am I,Jaimme's Got A Gal
1994,78,Cracker,Low
1994,79,Dave Graney 'n' the Coral Snakes,I'm Gonna Release Your Soul
1994,80,Alice in Chains,No Excuses
1994,81,Sisters Underground,In The Neighbourhood
1994,82,Neil Young,Piece Of Crap
1994,83,Love Spit Love,Am I Wrong?
1994,84,The Breeders,Saints
1994,85,G Love & Special Sauce,Blues Music
1994,86,Nick Cave & The Bad Seeds,Thirsty Dog
1994,87,Morrissey,"The More You Ignore Me, the Closer I Get"
1994,88,The Cure,Purple Haze
1994,89,Warren G & Nate Dogg,Regulate
1994,90,Smashing Pumpkins,Dancing in the Moonlight
1994,91,Counting Crows,Round Here
1994,92,Collective Soul,Shine
1994,93,Things of Stone and Wood,Wildflowers
1994,94,Page and Plant,Gallows Pole
1994,95,Def FX,Masses Like Asses
1994,96,Blur,Girls & Boys {Remix}
1994,97,Ini Kamoze,Here Comes the Hotstepper
1994,98,The Tea Party,A Certain Slant of Light
1994,99,Angelique Kidjo,Agolo
1994,100,Lisa Loeb & Nine Stories,Stay (I Missed You)
1995,1,Oasis,Wonderwall
1995,2,Smashing Pumpkins,Bullet with Butterfly Wings
1995,3,Coolio,Gangsta's Paradise
1995,4,Presidents of the U.S.A.,Kitty
1995,5,Bjork,It's Oh So Quiet
1995,6,Everclear,Heroin Girl
1995,7,Custard,Apartment
1995,8,Nick Cave & The Bad Seeds and Kylie Minogue,Where the Wild Roses Grow
1995,9,TISM,(He'll Never Be An) Ol' Man River
1995,10,TISM,Greg! The Stop Sign!!
1995,11,Presidents of the U.S.A.,Lump
1995,12,Mindless Drug Hoover,The Reefer Song
1995,13,Oasis,Morning Glory
1995,14,Jeff Buckley,Last Goodbye
1995,15,Garbage,Vow
1995,16,Dave Graney 'n' The Coral Snakes,Rock 'n' Roll is where I hide
1995,17,Regurgitator,Blubber Boy
1995,18,Jill Sobule,I Kissed a Girl
1995,19,Tripping Daisy,I Got a Girl
1995,20,Red Hot Chili Peppers,My Friends
1995,21,Garbage,Queer
1995,22,Live,Lightning Crashes
1995,23,Passengers,Miss Sarajevo
1995,24,You Am I,Purple Sneakers
1995,25,Insurge,Political Prisoners
1995,26,Neil Young,Downtown
1995,27,Ammonia,Drugs
1995,28,Red Hot Chili Peppers,Aeroplane
1995,29,Faith No More,Evidence
1995,30,Natalie Merchant,Carnival
1995,31,Rancid,Time Bomb
1995,32,Swoop,Apple Eyes
1995,33,Bush,Everything Zen
1995,34,Live,I Alone
1995,35,Pearl Jam,I Got Id
1995,36,Tricky,Black Steel
1995,37,Foo Fighters,This Is a Call
1995,38,Pulp,Common People
1995,39,Alanis Morissette,You Oughta Know
1995,40,Primus,Wynona's Big Brown Beaver
1995,41,Skunk Anansie,I Can Dream
1995,42,Sonic Youth,The Diamond Sea
1995,43,Spiderbait,Monty
1995,44,Pearl Jam,Better Man
1995,45,Portishead,Glory Box
1995,46,Green Day,Geek Stink Breath
1995,47,Christine Anu,My Island Home
1995,48,Technohead,I Wanna be a Hippy
1995,49,White Zombie,More Human than Human
1995,50,Buffalo Tom,Summer
1995,51,Def FX,Psychoactive Summer
1995,52,The Murmurs,You Suck
1995,53,Blur,Country House
1995,54,The Vaughans,Who Farted?
1995,55,Skunkhour,Up to Our Necks In It
1995,56,Phunk Junkeez,Chuck
1995,57,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me"
1995,58,Pollyanna,Lemonsuck
1995,59,Jill Sobule,Supermodel
1995,60,Teenage Fanclub,Sparky's Dream
1995,61,Screaming Jets,Sad Song
1995,62,Rebecca's Empire,Empty
1995,63,The Offspring,Smash It Up
1995,64,N-Trance,Stayin' Alive
1995,65,Shaggy,Boombastic
1995,66,The Tea Party,Fire in the Head
1995,67,Chris Isaak,"Baby Did a Bad, Bad Thing"
1995,68,Pollyanna,Pale Grey Eyes
1995,69,Dash Rip Rock,(Let's Go) Smoke Some Pot
1995,70,Foo Fighters,I'll Stick Around
1995,71,Live,All Over You
1995,72,Rail,Immune Deficiency
1995,73,The Cure,Dredd Song
1995,74,Grinspoon,Sickfest
1995,75,Red Hot Chili Peppers,Warped
1995,76,Bad Religion,21st Century (Digital Boy)
1995,77,Severed Heads,Heart of the Party
1995,78,Strawpeople,Trick with a Knife
1995,79,Supergrass,Alright
1995,80,Green Day,Brain Stew
1995,81,The Caulfields,Devil's Diary
1995,82,Mr Blonde,Sunday
1995,83,Bjork,Army of Me
1995,84,You Am I,Cathy's Clown
1995,85,Alanis Morissette,Hand in My Pocket
1995,86,TLC,Waterfalls
1995,87,Yothu Yindi,Jailbreak
1995,88,Alice in Chains,Grind
1995,89,Jeff Buckley,Grace
1995,90,Alanis Morissette,All I Really Want
1995,91,Faith No More,Digging the Grave
1995,92,Matthew Sweet,Sick of Myself
1995,93,TISM,All Homeboys Are Dickheads
1995,94,You Am I,Jewels and Bullets
1995,95,Massive Attack,Protection
1995,96,Tumbleweed,Hang Around
1995,97,Pop!,Tingly {ft. Angie Hart}
1995,98,Hecate,By Myself
1995,99,Green Day,When I Come Around
1995,100,Todd Snider,Talkin' Seattle Grunge Rock Blues
1996,1,Spiderbait,Buy Me a Pony
1996,2,Tool,Stinkfist
1996,3,Ben Folds Five,Underground
1996,4,Butthole Surfers,Pepper
1996,5,Bush,Glycerine
1996,6,Powderfinger,Pick You Up
1996,7,The Prodigy,Breathe
