index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
908,False,Australia,909,1997.0,1.0,The Whitlams,No Aphrodisiac,1997.0,https://genius.com/The-Whitlams-no-aphrodisiac-lyrics,---
909,False,UK,910,1997.0,2.0,Blur,Song 2,1997.0,https://genius.com/Blur-song-2-lyrics,"[1997, 4, 7]"
910,False,UK,911,1997.0,3.0,Chumbawamba,Tubthumping,1997.0,https://genius.com/Chumbawamba-tubthumping-lyrics,"[1997, 8, 11]"
911,False,UK,912,1997.0,4.0,The Verve,Bitter Sweet Symphony,1997.0,https://genius.com/The-Verve-bitter-sweet-symphony-lyrics,"[1997, 6, 16]"
912,False,Australia,913,1997.0,5.0,Pauline Pantsdown,Backdoor Man,1997.0,https://genius.com/Pauline-Pantsdown-backdoor-man-lyrics,---
913,False,USA,914,1997.0,6.0,Blink-182,Dammit (Growing Up),1997.0,https://genius.com/Blink-182-dammit-growing-up-lyrics,"[1997, 9, 23]"
914,False,UK,915,1997.0,7.0,Radiohead,Paranoid Android,1997.0,https://genius.com/Radiohead-paranoid-android-lyrics,"[1997, 5, 26]"
915,False,USA,916,1997.0,8.0,Marilyn Manson,The Beautiful People,1997.0,https://genius.com/Marilyn-Manson-the-beautiful-people-lyrics,"[1996, 9, 22]"
916,False,UK,917,1997.0,9.0,Radiohead,Karma Police,1997.0,https://genius.com/Radiohead-karma-police-lyrics,"[1997, 8, 25]"
917,False,Australia,918,1997.0,10.0,Jebediah,Leaving Home,1997.0,https://genius.com/Jebediah-leaving-home-lyrics,---
918,False,USA,919,1997.0,12.0,Ben Folds Five,One Angry Dwarf And 200 Solemn Faces,1997.0,https://genius.com/Ben-Folds-Five-one-angry-dwarf-and-200-solemn-faces-lyrics,---
919,False,Australia,920,1997.0,13.0,Silverchair,Freak,1997.0,https://genius.com/Silverchair-freak-lyrics,"[1997, 1, 13]"
920,False,Australia,921,1997.0,14.0,The Superjesus,Down Again,1997.0,https://genius.com/The-Superjesus-down-again-lyrics,---
921,False,Australia,922,1997.0,15.0,The Living End,Prisoner Of Society,1997.0,https://genius.com/The-Living-End-prisoner-of-society-lyrics,---
922,False,Australia,923,1997.0,17.0,Cordrazine,Crazy,1997.0,https://genius.com/Cordrazine-crazy-lyrics,---
923,False,Australia,924,1997.0,18.0,Nick Cave & The Bad Seeds,Into My Arms,1997.0,Nick Cave & The Bad Seeds,---
924,False,Australia,925,1997.0,19.0,Regurgitator,Every Day Formula,1997.0,Regurgitator,---
925,False,USA,926,1997.0,20.0,Cake,I Will Survive,1997.0,https://genius.com/Cake-i-will-survive-lyrics,---
926,False,USA,927,1997.0,21.0,Foo Fighters,Monkey Wrench,1997.0,https://genius.com/Foo-Fighters-monkey-wrench-lyrics,"[1997, 4, 28]"
927,False,Australia,928,1997.0,23.0,Spiderbait,Calypso,1997.0,https://genius.com/Spiderbait-calypso-lyrics,"[1996, 10, 14]"
928,False,USA,929,1997.0,24.0,Korn,A.D.I.D.A.S.,1997.0,Korn,---
929,False,USA,930,1997.0,26.0,Nine Inch Nails,The Perfect Drug,1997.0,https://genius.com/Nine-Inch-Nails-the-perfect-drug-lyrics,"[1997, 5, 13]"
930,False,Australia,931,1997.0,27.0,Silverchair,The Door,1997.0,https://genius.com/Silverchair-the-door-lyrics,---
931,False,USA,932,1997.0,28.0,Dana Lyons,Cows With Guns,1997.0,https://genius.com/Dana-Lyons-cows-with-guns-lyrics,---
932,False,USA,933,1997.0,29.0,Third Eye Blind,Semi-Charmed Life,1997.0,https://genius.com/Third-Eye-Blind-semi-charmed-life-lyrics,"[1997, 6, 17]"
933,False,USA,934,1997.0,30.0,Tool,Forty-Six & 2,1997.0,Tool,---
934,False,USA,935,1997.0,31.0,Faith No More,Ashes To Ashes,1997.0,https://genius.com/Faith-No-More-ashes-to-ashes-lyrics,"[1997, 5, 19]"
935,False,Australia,936,1997.0,32.0,Pendulum {Melbourne},Coma,1997.0,Pendulum {Melbourne},---
936,False,Australia,937,1997.0,33.0,Jebediah,Military Strongmen,1997.0,https://genius.com/Jebediah-military-strongmen-lyrics,---
937,False,Australia,938,1997.0,34.0,Grinspoon,Dcx3,1997.0,Grinspoon,---
938,False,UK,939,1997.0,35.0,The Sundays,Summertime,1997.0,https://genius.com/The-Sundays-summertime-lyrics,"[1997, 9, 23]"
939,False,USA,940,1997.0,36.0,Ween,Mutilated Lips,1997.0,https://genius.com/Ween-mutilated-lips-lyrics,"[1997, 6, 24]"
940,False,USA,941,1997.0,38.0,Metallica,The Memory Remains,1997.0,https://genius.com/Metallica-the-memory-remains-lyrics,"[1997, 11, 18]"
941,False,Australia,942,1997.0,39.0,Something for Kate,Captain (Million Miles),1997.0,Something for Kate,---
942,False,USA,943,1997.0,41.0,Beck,Deadweight,1997.0,https://genius.com/Beck-deadweight-lyrics,"[1994, 6, 18]"
943,False,UK,944,1997.0,42.0,Cornershop,Brimful of Asha,1997.0,https://genius.com/Cornershop-brimful-of-asha-lyrics,"[1997, 8, 18]"
944,False,Canada,945,1997.0,44.0,The Tea Party,Temptation,1997.0,https://genius.com/The-Tea-Party-temptation-lyrics,"[1997, 6, 23]"
945,False,UK,946,1997.0,45.0,The Cure,Wrong Number,1997.0,https://genius.com/The-Cure-wrong-number-lyrics,"[1997, 10, 14]"
946,False,USA,947,1997.0,46.0,The Bloodhound Gang,Fire Water Burn,1997.0,The Bloodhound Gang,---
947,False,Australia,948,1997.0,48.0,Custard,Anatomically Correct,1997.0,https://genius.com/Custard-anatomically-correct-lyrics,"[1997, 9, 15]"
948,False,Australia,949,1997.0,49.0,The Living End,From Here On In,1997.0,https://genius.com/The-Living-End-from-here-on-in-lyrics,---
949,False,UK,950,1997.0,50.0,Arkarna,Eat Me,1997.0,https://genius.com/Arkarna-eat-me-lyrics,---
950,False,USA,951,1997.0,51.0,Everclear,So Much For The Afterglow,1997.0,https://genius.com/Everclear-so-much-for-the-afterglow-lyrics,"[1997, 10, 7]"
951,False,USA,952,1997.0,52.0,Garbage,#1 Crush,1997.0,https://genius.com/Garbage-#1-crush-lyrics,---
952,False,Australia,953,1997.0,53.0,The Whitlams,You Sound Like Louis Burdett,1997.0,https://genius.com/The-Whitlams-you-sound-like-louis-burdett-lyrics,"[1997, 1, 11]"
953,False,USA,954,1997.0,54.0,Everclear,Everything To Everyone,1997.0,https://genius.com/Everclear-everything-to-everyone-lyrics,"[1997, 9, 9]"
954,False,USA,955,1997.0,55.0,Red Hot Chili Peppers,Love Rollercoaster,1997.0,https://genius.com/Red-Hot-Chili-Peppers-love-rollercoaster-lyrics,"[1996, 11, 5]"
955,False,UK,956,1997.0,56.0,The Prodigy,Funky Shit,1997.0,https://genius.com/The-Prodigy-funky-shit-lyrics,"[1997, 6, 30]"
956,False,UK,957,1997.0,57.0,My Drug Hell,Girl At The Bus Stop,1997.0,https://genius.com/My-Drug-Hell-girl-at-the-bus-stop-lyrics,---
957,False,Australia,958,1997.0,58.0,Diana Ah Naid,I Go Off,1997.0,https://genius.com/Diana-Ah-Naid-i-go-off-lyrics,---
958,False,UK,959,1997.0,59.0,White Town,Your Woman,1997.0,https://genius.com/White-Town-your-woman-lyrics,"[1997, 1, 13]"
959,False,USA,960,1997.0,60.0,They Might Be Giants,New York City,1997.0,https://genius.com/They-Might-Be-Giants-new-york-city-lyrics,"[1996, 10, 8]"
960,False,USA,961,1997.0,62.0,The Smashing Pumpkins,The End Is the Beginning Is the End,1997.0,https://genius.com/The-Smashing-Pumpkins-the-end-is-the-beginning-is-the-end-lyrics,"[1997, 6, 2]"
961,False,Australia,962,1997.0,63.0,Grinspoon,Repeat,1997.0,https://genius.com/Grinspoon-repeat-lyrics,---
962,False,USA,963,1997.0,64.0,Faith No More,Stripsearch,1997.0,https://genius.com/Faith-No-More-stripsearch-lyrics,"[1997, 6, 3]"
963,False,USA,964,1997.0,65.0,The Lemonheads,Outdoor Type,1997.0,The Lemonheads,---
964,False,Australia,965,1997.0,66.0,Powderfinger,JC,1997.0,https://genius.com/Powderfinger-jc-lyrics,---
965,False,USA,966,1997.0,67.0,The Offspring,I Choose,1997.0,https://genius.com/The-Offspring-i-choose-lyrics,"[1997, 2, 4]"
966,False,UK,967,1997.0,68.0,Jamiroquai,Cosmic Girl,1997.0,https://genius.com/Jamiroquai-cosmic-girl-lyrics,"[1996, 11, 25]"
967,False,USA,968,1997.0,69.0,Ween,Waving My Dick In The Wind,1997.0,https://genius.com/Ween-waving-my-dick-in-the-wind-lyrics,"[1997, 6, 24]"
968,False,UK,969,1997.0,70.0,Reef,Place Your Hands,1997.0,https://genius.com/Reef-place-your-hands-lyrics,"[1997, 8, 9]"
969,False,Australia,970,1997.0,71.0,Robyn Loau,Sick With Love,1997.0,Robyn Loau,---
970,False,Australia,971,1997.0,72.0,Front End Loader,Pulse,1997.0,https://genius.com/Front-End-Loader-pulse-lyrics,---
971,False,USA,972,1997.0,74.0,Rage Against the Machine,The Ghost of Tom Joad,1997.0,https://genius.com/Rage-Against-the-Machine-the-ghost-of-tom-joad-lyrics,"[2000, 12, 5]"
