index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
0,False,Australia,1,1996.0,1.0,Spiderbait,Buy Me a Pony,1996.0,https://genius.com/Spiderbait-buy-me-a-pony-lyrics,---
1,False,USA,2,1996.0,2.0,Tool,Stinkfist,1996.0,https://genius.com/Tool-stinkfist-lyrics,"[1996, 9, 17]"
2,False,USA,3,1996.0,3.0,Ben Folds Five,Underground,1996.0,https://genius.com/Ben-Folds-Five-underground-lyrics,"[1995, 8, 8]"
3,False,USA,4,1996.0,4.0,Butthole Surfers,Pepper,1996.0,https://genius.com/Butthole-Surfers-pepper-lyrics,"[1996, 4, 2]"
4,False,UK,5,1996.0,5.0,Bush,Glycerine,1996.0,https://genius.com/Bush-glycerine-lyrics,"[1994, 12, 6]"
5,False,Australia,6,1996.0,6.0,Powderfinger,Pick You Up,1996.0,https://genius.com/Powderfinger-pick-you-up-lyrics,---
6,False,UK,7,1996.0,7.0,The Prodigy,Breathe,1996.0,https://genius.com/The-Prodigy-breathe-lyrics,"[1996, 11, 11]"
7,False,USA,8,1996.0,8.0,Allen Ginsberg,Ballad of the Skeletons,1996.0,https://genius.com/Allen-Ginsberg-ballad-of-the-skeletons-lyrics,---
8,False,USA,9,1996.0,9.0,Weezer,El Scorcho,1996.0,https://genius.com/Weezer-el-scorcho-lyrics,"[1996, 9, 19]"
9,False,USA,10,1996.0,11.0,311,Down,1996.0,https://genius.com/311-down-lyrics,"[1995, 7, 11]"
10,False,UK,11,1996.0,12.0,Underworld,Born Slippy,1996.0,Underworld,---
11,False,USA,12,1996.0,13.0,The Smashing Pumpkins,1979,1996.0,https://genius.com/The-Smashing-Pumpkins-1979-lyrics,"[1996, 1, 23]"
12,False,Australia,13,1996.0,15.0,Regurgitator,Kong Foo Sing,1996.0,https://genius.com/Regurgitator-kong-foo-sing-lyrics,---
13,False,UK,14,1996.0,16.0,Babylon Zoo,Spaceman,1996.0,https://genius.com/Babylon-Zoo-spaceman-lyrics,"[1996, 1, 15]"
14,False,UK,15,1996.0,17.0,The Prodigy,Firestarter,1996.0,https://genius.com/The-Prodigy-firestarter-lyrics,"[1996, 3, 18]"
15,False,Australia,16,1996.0,18.0,Powderfinger,D.A.F.,1996.0,Powderfinger,---
16,False,UK,17,1996.0,19.0,Bush,Swallowed,1996.0,https://genius.com/Bush-swallowed-lyrics,"[1996, 10, 15]"
17,False,Australia,18,1996.0,20.0,The Fauves,Dogs Are the Best People,1996.0,The Fauves,---
18,False,USA,19,1996.0,21.0,Foo Fighters,Down in the Park,1996.0,https://genius.com/Foo-Fighters-down-in-the-park-lyrics,"[1996, 3, 19]"
19,False,Ireland,20,1996.0,22.0,Ash,Oh Yeah,1996.0,https://genius.com/Ash-oh-yeah-lyrics,"[1996, 5, 6]"
20,False,Australia,21,1996.0,23.0,Regurgitator,I Sucked a Lot of Cock to Get Where I Am,1996.0,https://genius.com/Regurgitator-i-sucked-a-lot-of-cock-to-get-where-i-am-lyrics,---
21,False,USA,22,1996.0,24.0,Everclear,Santa Monica,1996.0,https://genius.com/Everclear-santa-monica-lyrics,"[1995, 5, 23]"
22,False,USA,23,1996.0,25.0,No Doubt,Just a Girl,1996.0,https://genius.com/No-Doubt-just-a-girl-lyrics,"[1995, 9, 21]"
23,False,UK,24,1996.0,26.0,Chemical Brothers,Setting Sun,1996.0,https://genius.com/Chemical-Brothers-setting-sun-lyrics,"[1996, 9, 30]"
24,False,USA,25,1996.0,27.0,Cake,The Distance,1996.0,https://genius.com/Cake-the-distance-lyrics,"[1996, 10, 15]"
25,False,USA,26,1996.0,28.0,The Smashing Pumpkins,Zero,1996.0,https://genius.com/The-Smashing-Pumpkins-zero-lyrics,"[1996, 4, 23]"
26,False,Australia,27,1996.0,30.0,The Fauves,Self Abuser,1996.0,The Fauves,---
27,False,UK,28,1996.0,31.0,Skin,Mah Na Mah Na,1996.0,Skin,---
28,False,Australia,29,1996.0,32.0,Powderfinger,Living Type,1996.0,https://genius.com/Powderfinger-living-type-lyrics,---
29,False,USA,30,1996.0,33.0,2Pac,California Love,1996.0,https://genius.com/2Pac-california-love-lyrics,"[1995, 12, 3]"
30,False,USA,31,1996.0,34.0,Tracy Bonham,Mother Mother,1996.0,https://genius.com/Tracy-Bonham-mother-mother-lyrics,"[1996, 11, 6]"
31,False,USA,32,1996.0,35.0,Fugees,Killing Me Softly,1996.0,https://genius.com/Fugees-killing-me-softly-lyrics,"[1996, 5, 31]"
32,False,USA,33,1996.0,36.0,Primitive Radio Gods,Standing Outside a Broken Phone Booth with Money in My Hand,1996.0,https://genius.com/Primitive-Radio-Gods-standing-outside-a-broken-phone-booth-with-money-in-my-hand-lyrics,"[1996, 6, 18]"
33,False,UK,34,1996.0,37.0,Jamiroquai,Virtual Insanity,1996.0,https://genius.com/Jamiroquai-virtual-insanity-lyrics,"[1996, 8, 19]"
34,False,UK,35,1996.0,38.0,Bush,Comedown,1996.0,https://genius.com/Bush-comedown-lyrics,"[1994, 12, 6]"
35,False,USA,36,1996.0,39.0,The Eels,Novocaine for the Soul,1996.0,The Eels,---
36,False,UK,37,1996.0,40.0,Tricky/Garbage,Milk,1996.0,Tricky/Garbage,---
37,False,USA,38,1996.0,41.0,Geggy Tah,Whoever You Are,1996.0,https://genius.com/Geggy-Tah-whoever-you-are-lyrics,"[1996, 4, 23]"
38,False,Australia,39,1996.0,42.0,Fini Scad,Coppertone,1996.0,Fini Scad,---
39,False,Ireland,40,1996.0,44.0,The Cranberries,Salvation,1996.0,https://genius.com/The-Cranberries-salvation-lyrics,"[1996, 4, 6]"
40,False,USA,41,1996.0,45.0,Nirvana,Aneurysm {Muddy Banks of the Wishka live version},1996.0,Nirvana,---
41,False,USA,42,1996.0,46.0,Rage Against the Machine,Bulls on Parade,1996.0,https://genius.com/Rage-Against-the-Machine-bulls-on-parade-lyrics,"[1996, 4, 16]"
42,False,USA,43,1996.0,47.0,Pearl Jam,"Hail, Hail",1996.0,https://genius.com/Pearl-Jam-hail-hail-lyrics,"[1996, 8, 27]"
43,False,USA,44,1996.0,48.0,Nada Surf,Popular,1996.0,https://genius.com/Nada-Surf-popular-lyrics,"[1996, 6, 18]"
44,False,UK,45,1996.0,49.0,Definition of Sound,Pass the Vibes,1996.0,Definition of Sound,---
45,False,USA,46,1996.0,50.0,The Presidents of the USA,Mach 5,1996.0,The Presidents of the USA,---
46,False,USA,47,1996.0,51.0,Garbage,Only Happy When It Rains,1996.0,https://genius.com/Garbage-only-happy-when-it-rains-lyrics,"[1995, 9, 18]"
47,False,USA,48,1996.0,52.0,Metallica,Until It Sleeps,1996.0,https://genius.com/Metallica-until-it-sleeps-lyrics,"[1996, 6, 4]"
48,False,Iceland,49,1996.0,53.0,Bjork,Hyperballad,1996.0,https://genius.com/Bjork-hyperballad-lyrics,"[1996, 2, 12]"
49,False,USA,50,1996.0,55.0,The Smashing Pumpkins,"Tonight, Tonight",1996.0,https://genius.com/The-Smashing-Pumpkins-tonight-tonight-lyrics,"[1996, 6, 15]"
50,False,USA,51,1996.0,58.0,Everclear,Heartspark Dollarsign,1996.0,https://genius.com/Everclear-heartspark-dollarsign-lyrics,"[1995, 5, 23]"
51,False,Australia,52,1996.0,59.0,Tumbleweed,Silver Lizard,1996.0,Tumbleweed,---
52,False,UK,53,1996.0,60.0,Kula Shaker,Hey Dude,1996.0,https://genius.com/Kula-Shaker-hey-dude-lyrics,"[1996, 6, 24]"
53,False,USA,54,1996.0,62.0,Metallica,Hero of the Day,1996.0,https://genius.com/Metallica-hero-of-the-day-lyrics,"[1996, 6, 4]"
54,False,USA,55,1996.0,63.0,Bad Religion,Punk Rock Song,1996.0,https://genius.com/Bad-Religion-punk-rock-song-lyrics,"[1996, 2, 27]"
55,False,Benin,56,1996.0,64.0,Angelique Kidjo,Wombo Lombo,1996.0,https://genius.com/Angelique-Kidjo-wombo-lombo-lyrics,---
56,False,USA,57,1996.0,65.0,Goldfinger,Here in Your Bedroom,1996.0,https://genius.com/Goldfinger-here-in-your-bedroom-lyrics,"[1996, 2, 27]"
57,False,Australia,58,1996.0,67.0,Crowded House,Everything Is Good for You,1996.0,https://genius.com/Crowded-House-everything-is-good-for-you-lyrics,"[1996, 6, 24]"
58,False,Ireland,59,1996.0,68.0,Mullen/Clayton,Mission Impossible,1996.0,Mullen/Clayton,---
59,False,Australia,60,1996.0,69.0,Insurge,Speculator,1996.0,Insurge,---
60,False,UK,61,1996.0,71.0,Pulp,Disco 2000,1996.0,https://genius.com/Pulp-disco-2000-lyrics,"[1995, 10, 30]"
61,False,Australia,62,1996.0,72.0,Frenzal Rhomb,Punch in the Face,1996.0,https://genius.com/Frenzal-Rhomb-punch-in-the-face-lyrics,---
62,False,USA,63,1996.0,73.0,Hole,Gold Dust Woman,1996.0,https://genius.com/Hole-gold-dust-woman-lyrics,---
63,False,USA,64,1996.0,74.0,Ministry,Lay Lady Lay,1996.0,https://genius.com/Ministry-lay-lady-lay-lyrics,"[1996, 1, 30]"
64,False,UK,65,1996.0,76.0,Spacehog,In the Meantime,1996.0,https://genius.com/Spacehog-in-the-meantime-lyrics,"[1996, 7, 18]"
65,False,USA,66,1996.0,77.0,Soundgarden,Burden in My Hand,1996.0,https://genius.com/Soundgarden-burden-in-my-hand-lyrics,"[1996, 5, 21]"
66,False,New Zealand,67,1996.0,78.0,OMC,How Bizarre,1996.0,https://genius.com/OMC-how-bizarre-lyrics,"[1995, 12, 15]"
67,False,Australia,68,1996.0,79.0,The Whitlams,I Make Hamburgers,1996.0,https://genius.com/The-Whitlams-i-make-hamburgers-lyrics,---
68,False,Australia,69,1996.0,80.0,You Am I,Soldiers,1996.0,https://genius.com/You-Am-I-soldiers-lyrics,---
69,False,Australia,70,1996.0,81.0,The Superjesus,Shut My Eyes,1996.0,https://genius.com/The-Superjesus-shut-my-eyes-lyrics,---
70,False,USA,71,1996.0,82.0,Luscious Jackson,Naked Eye,1996.0,https://genius.com/Luscious-Jackson-naked-eye-lyrics,"[1996, 10, 29]"
