index,alltime,country,id,pollyear,position,artist,track,releaseyear,url,release_date
1367,False,UK,1368,1995.0,1.0,Oasis,Wonderwall,1995.0,https://genius.com/Oasis-wonderwall-lyrics,"[1995, 10, 30]"
1368,False,USA,1369,1995.0,2.0,Smashing Pumpkins,Bullet with Butterfly Wings,1995.0,https://genius.com/Smashing-Pumpkins-bullet-with-butterfly-wings-lyrics,"[1995, 10, 23]"
1369,False,USA,1370,1995.0,4.0,Presidents of the U.S.A.,Kitty,1995.0,Presidents of the U.S.A.,---
1370,False,USA,1371,1995.0,6.0,Everclear,Heroin Girl,1995.0,https://genius.com/Everclear-heroin-girl-lyrics,"[1995, 5, 23]"
1371,False,Australia,1372,1995.0,7.0,Custard,Apartment,1995.0,https://genius.com/Custard-apartment-lyrics,---
1372,False,Australia,1373,1995.0,8.0,Nick Cave & The Bad Seeds and Kylie Minogue,Where the Wild Roses Grow,1995.0,Nick Cave & The Bad Seeds and Kylie Minogue,---
1373,False,Australia,1374,1995.0,10.0,TISM,Greg! The Stop Sign!!,1995.0,https://genius.com/TISM-greg-the-stop-sign-lyrics,"[1995, 7, 31]"
1374,False,USA,1375,1995.0,11.0,Presidents of the U.S.A.,Lump,1995.0,Presidents of the U.S.A.,---
1375,False,UK,1376,1995.0,12.0,Mindless Drug Hoover,The Reefer Song,1995.0,https://genius.com/Mindless-Drug-Hoover-the-reefer-song-lyrics,---
1376,False,UK,1377,1995.0,13.0,Oasis,Morning Glory,1995.0,https://genius.com/Oasis-morning-glory-lyrics,"[1995, 9, 15]"
1377,False,USA,1378,1995.0,14.0,Jeff Buckley,Last Goodbye,1995.0,https://genius.com/Jeff-Buckley-last-goodbye-lyrics,"[1994, 8, 23]"
1378,False,UK,1379,1995.0,15.0,Garbage,Vow,1995.0,https://genius.com/Garbage-vow-lyrics,"[1995, 3, 20]"
1379,False,Australia,1380,1995.0,17.0,Regurgitator,Blubber Boy,1995.0,https://genius.com/Regurgitator-blubber-boy-lyrics,---
1380,False,USA,1381,1995.0,18.0,Jill Sobule,I Kissed a Girl,1995.0,https://genius.com/Jill-Sobule-i-kissed-a-girl-lyrics,---
1381,False,USA,1382,1995.0,19.0,Tripping Daisy,I Got a Girl,1995.0,https://genius.com/Tripping-Daisy-i-got-a-girl-lyrics,"[1995, 6, 20]"
1382,False,USA,1383,1995.0,20.0,Red Hot Chili Peppers,My Friends,1995.0,https://genius.com/Red-Hot-Chili-Peppers-my-friends-lyrics,"[1995, 9, 19]"
