,artist,song_url,track
69,U2,https://genius.com/U2-sweetest-thing-lyrics,The Sweetest Thing
70,They Might Be Giants,https://genius.com/They-might-be-giants-doctor-worm-lyrics,Dr. Worm
71,Josh Abrahams & Amiel Daemion,XX-,Addicted to Bass
72,The Living End,https://genius.com/The-living-end-tainted-love-lyrics,Tainted Love {Live}
73,Chef,https://genius.com/albums/South-park/Chef-aid-the-south-park-album,Simultaneous
74,Regurgitator,https://genius.com/Regurgitator-i-like-your-old-remix-better-than-your-new-remix-modern-life-single-lyrics,I Like Your Old Remix Better Than Your New Remix
75,Paul McDermott,https://genius.com/Mary-harron-american-psycho-script-annotated,Throw Your Arms Around Me
76,The Whitlams,https://genius.com/The-whitlams-buy-now-pay-later-charlie-no2-lyrics,Buy Now Pay Later (Charlie No 2)
77,Adam Sandler,https://genius.com/Adam-sandler-somebody-kill-me-please-lyrics,Somebody Kill Me
78,Propellerheads & Shirley Bassey,https://genius.com/Propellerheads-history-repeating-lyrics,History Repeating
79,Antenna,https://genius.com/John-butler-trio-spring-to-come-lyrics,Come On Spring
80,Dandy Warhols,https://genius.com/The-dandy-warhols-every-day-should-be-a-holiday-lyrics,Every Day Should Be A Holiday
81,Pollyanna,XX-,Cinnamon Lip
82,Chef,https://genius.com/Isaac-hayes-no-substitute-chef-aid-version-lyrics,No Substitute
83,Space with Cerys Matthews,https://genius.com/artists/Cerys-matthews,The Ballad of Tom Jones
84,Even,https://genius.com/Rihanna-umbrella-lyrics,Black Umbrella
85,Superjesus,https://genius.com/The-superjesus-saturation-lyrics,Saturation
86,Not From There,https://genius.com/Nagelfar-kapitel-eins-der-fruhling-als-die-tore-sich-offnen-lyrics,Sich Offnen
87,The Bees,https://genius.com/Bees-chicken-payback-lyrics,Chicken Payback
88,Scribe,https://genius.com/Scribe-not-many-the-remix-lyrics,Not Many - The Remix!
89,Scissor Sisters,https://genius.com/Scissor-sisters-take-me-out-lyrics,Take Me Out {Franz Ferdinand cover}
90,Your Wedding Night,XX-,Lachlan
91,Epicure,https://genius.com/Epicure-pop-self-destruct-in-five-lyrics,Self Destruct in 5
92,The Black Keys,https://genius.com/The-black-keys-10-am-automatic-lyrics,10am Automatic
93,The Freestylers,https://genius.com/Freestylers-push-up-lyrics,Push Up
94,Starsailor,https://genius.com/Starsailor-four-to-the-floor-thin-white-duke-mix-lyrics,Four to the Floor {Thin White Duke Remix}
95,The Panda Band,XX-,Sleepy Little Deathtoll Town
96,The Dissociatives,https://genius.com/The-dissociatives-young-man-old-man-you-aint-better-than-the-rest-lyrics,Young Man Old Man
97,Dogs Die in Hot Cars,https://genius.com/Dogs-die-in-hot-cars-i-love-you-cause-i-have-to-lyrics,I Love You Because I Have To
98,The Greenskeepers,https://genius.com/Greenskeepers-lotion-lyrics,Lotion
99,Sakamoto And Sylvian,https://genius.com/David-sylvian-and-ryuichi-sakamoto-forbidden-colours-lyrics,Forbidden Colours
100,Double Trouble And Rebel MC,https://genius.com/Double-trouble-and-the-rebel-mc-street-tuff-lyrics,Street Tuff
101,Regurgitator,https://genius.com/Regurgitator-everyday-formula-lyrics,Every Day Formula
102,Pendulum {Melbourne},XX-,Coma
103,Grinspoon,https://genius.com/Grinspoon-just-ace-lyrics,Dcx3
104,Something for Kate,https://genius.com/Something-for-kate-captain-million-miles-an-hour-lyrics,Captain (Million Miles)
105,The Bloodhound Gang,https://genius.com/Bloodhound-gang-fire-water-burn-lyrics,Fire Water Burn
